end,Revenues,NetIncomeLoss,Assets
2017-09-30,52579000000.0,10714000000,375319000000.0
2017-12-30,88293000000.0,20065000000,406794000000.0
2017-12-30,88293000000.0,20065000000,406794000000.0
2017-12-30,88293000000.0,20065000000,406794000000.0
2017-12-30,88293000000.0,20065000000,406794000000.0
2018-03-31,61137000000.0,33887000000,367502000000.0
2018-03-31,61137000000.0,33887000000,367502000000.0
2018-03-31,61137000000.0,13822000000,367502000000.0
2018-03-31,61137000000.0,13822000000,367502000000.0
2018-03-31,61137000000.0,13822000000,367502000000.0
2018-03-31,61137000000.0,13822000000,367502000000.0
2018-06-30,53265000000.0,45406000000,349197000000.0
2018-06-30,53265000000.0,45406000000,349197000000.0
2018-06-30,53265000000.0,11519000000,349197000000.0
2018-06-30,53265000000.0,11519000000,349197000000.0
2018-06-30,53265000000.0,11519000000,349197000000.0
2018-06-30,53265000000.0,11519000000,349197000000.0
2018-09-29,265595000000.0,59531000000,365725000000.0
2018-09-29,265595000000.0,59531000000,365725000000.0
2018-09-29,265595000000.0,59531000000,365725000000.0
2018-09-29,265595000000.0,59531000000,365725000000.0
2018-09-29,265595000000.0,59531000000,365725000000.0
2018-09-29,265595000000.0,59531000000,365725000000.0
2018-09-29,265595000000.0,59531000000,365725000000.0
2018-09-29,265595000000.0,59531000000,365725000000.0
2018-09-29,265595000000.0,59531000000,365725000000.0
2018-09-29,265595000000.0,59531000000,365725000000.0
2018-09-29,265595000000.0,59531000000,365725000000.0
2018-09-29,265595000000.0,59531000000,365725000000.0
2018-09-29,265595000000.0,59531000000,365725000000.0
2018-09-29,265595000000.0,59531000000,365725000000.0
2018-09-29,265595000000.0,59531000000,365725000000.0
2018-09-29,265595000000.0,14125000000,365725000000.0
2018-09-29,265595000000.0,14125000000,365725000000.0
2018-09-29,265595000000.0,14125000000,365725000000.0
2018-09-29,265595000000.0,14125000000,365725000000.0
2018-09-29,265595000000.0,14125000000,365725000000.0
2018-09-29,265595000000.0,14125000000,365725000000.0
2018-09-29,265595000000.0,14125000000,365725000000.0
2018-09-29,265595000000.0,14125000000,365725000000.0
2018-09-29,265595000000.0,14125000000,365725000000.0
2018-09-29,265595000000.0,14125000000,365725000000.0
2018-09-29,62900000000.0,59531000000,365725000000.0
2018-09-29,62900000000.0,59531000000,365725000000.0
2018-09-29,62900000000.0,59531000000,365725000000.0
2018-09-29,62900000000.0,59531000000,365725000000.0
2018-09-29,62900000000.0,59531000000,365725000000.0
2018-09-29,62900000000.0,59531000000,365725000000.0
2018-09-29,62900000000.0,59531000000,365725000000.0
2018-09-29,62900000000.0,59531000000,365725000000.0
2018-09-29,62900000000.0,59531000000,365725000000.0
2018-09-29,62900000000.0,59531000000,365725000000.0
2018-09-29,62900000000.0,59531000000,365725000000.0
2018-09-29,62900000000.0,59531000000,365725000000.0
2018-09-29,62900000000.0,59531000000,365725000000.0
2018-09-29,62900000000.0,59531000000,365725000000.0
2018-09-29,62900000000.0,59531000000,365725000000.0
2018-09-29,62900000000.0,14125000000,365725000000.0
2018-09-29,62900000000.0,14125000000,365725000000.0
2018-09-29,62900000000.0,14125000000,365725000000.0
2018-09-29,62900000000.0,14125000000,365725000000.0
2018-09-29,62900000000.0,14125000000,365725000000.0
2018-09-29,62900000000.0,14125000000,365725000000.0
2018-09-29,62900000000.0,14125000000,365725000000.0
2018-09-29,62900000000.0,14125000000,365725000000.0
2018-09-29,62900000000.0,14125000000,365725000000.0
2018-09-29,62900000000.0,14125000000,365725000000.0
2018-12-29,,19965000000,373719000000.0
2018-12-29,,19965000000,373719000000.0
2018-12-29,,19965000000,373719000000.0
2018-12-29,,19965000000,373719000000.0
2019-03-30,,31526000000,341998000000.0
2019-03-30,,31526000000,341998000000.0
2019-03-30,,11561000000,341998000000.0
2019-03-30,,11561000000,341998000000.0
2019-03-30,,11561000000,341998000000.0
2019-03-30,,11561000000,341998000000.0
2019-06-29,,41570000000,322239000000.0
2019-06-29,,41570000000,322239000000.0
